task_id,task_description,priority,mood,days_until_deadline,workload_hours,estimated_duration
68,Write documentation,Low,Motivated,25,6.2,5.2
69,Bug fix,Low,Calm,29,5.4,8.5
70,Sprint planning,Low,Tired,28,7.6,11.1
71,Sprint planning,Low,Happy,11,2.0,6.4
72,Database migration,High,Motivated,25,3.9,10.5
73,Sprint planning,Medium,Happy,1,2.0,9.5
74,Research,Medium,Motivated,11,3.9,7.2
75,API development,High,Motivated,19,4.5,8.7
76,Design meeting,Medium,Tired,9,9.0,12.7
77,Debugging,Low,Happy,27,2.0,3.8
78,Code review,Medium,Stressed,2,5.2,15.0
79,Bug fix,Medium,Stressed,12,7.2,12.2
80,Write documentation,High,Stressed,4,6.8,13.9
81,API development,Medium,Happy,4,8.9,10.9
82,Bug fix,Low,Anxious,18,6.3,9.1
83,Write documentation,Low,Calm,15,6.7,9.1
84,Debugging,Low,Stressed,19,2.3,8.2
85,Deploy production,Medium,Stressed,13,4.0,9.9
86,Deploy production,Medium,Calm,19,2.4,7.9
87,Performance optimization,Low,Tired,17,7.1,7.8
88,Bug fix,Critical,Calm,6,6.7,17.4
89,Deploy production,Medium,Anxious,16,6.6,8.5
90,Research,Low,Calm,24,4.2,5.9
91,Write documentation,Low,Anxious,12,4.1,7.4
92,Performance optimization,Low,Motivated,19,6.4,7.6
93,Sprint planning,Low,Stressed,5,4.7,10.7
94,Write documentation,Low,Anxious,17,4.0,6.2
95,Performance optimization,Low,Happy,26,5.0,5.7
96,Debugging,Low,Motivated,23,4.7,6.9
97,Bug fix,Low,Stressed,26,4.3,9.5
98,Debugging,High,Motivated,29,3.5,9.3
99,API development,Low,Motivated,1,6.9,9.9
100,Debugging,Medium,Motivated,28,9.1,9.5
101,Database migration,Medium,Motivated,27,5.9,7.3
102,Sprint planning,Critical,Stressed,25,6.4,17.8
103,UI/UX design,Low,Happy,24,7.1,7.5
104,Debugging,Low,Calm,23,6.7,5.4
105,API development,Critical,Happy,10,4.3,13.8
106,Unit testing,High,Tired,15,9.4,11.2
107,Research,High,Stressed,23,4.5,14.2
108,Write documentation,Low,Anxious,21,7.3,8.0
109,Unit testing,Low,Tired,21,7.1,10.9
110,API development,Medium,Motivated,11,2.1,5.7
111,Performance optimization,Critical,Happy,13,5.3,14.7
112,UI/UX design,Medium,Motivated,5,6.1,12.6
113,Sprint planning,Medium,Anxious,1,6.3,13.7
114,Sprint planning,Low,Calm,24,6.6,6.0
115,Sprint planning,High,Tired,12,7.5,12.1
116,Research,Low,Motivated,11,6.0,6.0
117,UI/UX design,Low,Happy,17,6.7,7.1
118,Research,Medium,Calm,4,5.9,10.3
119,Research,Medium,Stressed,15,4.0,10.1
120,Code review,Low,Happy,25,6.1,3.2
121,UI/UX design,Low,Stressed,9,7.5,12.9
122,Database migration,Medium,Happy,21,8.2,11.2
123,UI/UX design,Low,Happy,20,7.1,7.3
124,API development,Medium,Happy,19,8.7,7.5
125,Code review,Low,Anxious,19,6.8,10.5
126,Sprint planning,Medium,Calm,12,7.7,11.0
127,API development,Medium,Anxious,5,7.9,13.2
128,API development,Low,Calm,10,5.6,7.2
129,Client call,Low,Stressed,17,7.5,12.3
130,Design meeting,Low,Calm,5,4.1,6.4
131,Code review,Low,Calm,22,6.7,8.8
132,API development,Critical,Happy,16,7.2,14.0
133,Design meeting,Low,Tired,7,8.1,8.0
134,Design meeting,High,Stressed,28,7.6,13.0
135,Code review,Low,Tired,9,8.1,8.3
136,Client call,Medium,Tired,3,5.8,11.3
137,Unit testing,High,Happy,15,5.3,12.7
138,Performance optimization,Medium,Happy,16,5.5,8.8
139,Database migration,Medium,Motivated,18,6.5,10.4
140,Performance optimization,Medium,Calm,14,2.4,9.3
141,UI/UX design,Low,Happy,3,8.7,8.8
142,Sprint planning,Critical,Anxious,12,6.1,17.3
143,Database migration,High,Happy,9,5.2,9.4
144,UI/UX design,Critical,Tired,28,2.0,15.9
145,API development,Low,Anxious,7,5.9,7.1
146,Sprint planning,High,Stressed,9,5.6,15.7
147,Write documentation,Critical,Happy,13,4.2,11.1
148,Code review,Low,Happy,18,4.7,4.4
149,Database migration,Low,Stressed,5,5.9,15.2
150,Database migration,High,Happy,13,4.8,10.2
151,Debugging,Medium,Tired,4,7.1,13.7
152,API development,High,Happy,2,4.5,14.9
153,Unit testing,Low,Calm,16,6.3,4.9
154,Design meeting,High,Anxious,9,8.4,11.6
155,Sprint planning,Low,Motivated,9,5.9,6.0
156,API development,Low,Tired,6,6.7,10.0
157,Deploy production,Low,Stressed,11,6.6,10.2
158,Client call,High,Tired,22,6.0,13.9
159,Design meeting,Medium,Calm,24,5.9,11.3
160,Code review,Medium,Calm,22,4.9,10.2
161,Design meeting,Low,Happy,1,6.3,8.8
162,Unit testing,High,Motivated,4,5.4,12.0
163,Debugging,Low,Calm,13,9.1,6.8
164,Design meeting,High,Happy,23,7.6,9.0
165,Code review,Medium,Stressed,13,3.1,9.8
166,Unit testing,Low,Calm,13,3.2,9.1
167,Performance optimization,Medium,Motivated,2,5.7,12.7
168,Database migration,Low,Tired,9,5.2,8.7
169,Debugging,High,Motivated,24,5.6,11.3
170,Database migration,Medium,Happy,8,7.3,9.3
171,Client call,Low,Calm,7,6.6,9.0
172,UI/UX design,High,Calm,4,6.6,12.2
173,Performance optimization,Low,Happy,18,8.9,7.4
174,Performance optimization,Medium,Stressed,3,3.2,12.3
175,Sprint planning,Critical,Motivated,28,6.2,14.5
176,Research,Medium,Happy,6,4.8,10.0
177,Design meeting,Low,Calm,12,8.9,8.0
178,Database migration,Critical,Stressed,12,2.0,17.6
179,Code review,Medium,Happy,21,2.0,8.6
180,Bug fix,Low,Stressed,28,6.6,9.4
181,Research,Low,Anxious,8,8.3,9.9
182,Bug fix,High,Motivated,22,7.5,9.9
183,Debugging,Medium,Anxious,22,4.4,15.3
184,Unit testing,Medium,Calm,1,9.0,12.4
185,Database migration,High,Happy,4,3.5,10.6
186,Database migration,High,Calm,21,8.6,13.0
187,Research,Low,Calm,28,3.8,6.1
188,Client call,Low,Motivated,11,5.3,7.9
189,Research,Low,Happy,3,7.3,8.7
190,Bug fix,High,Calm,13,3.1,10.0
191,Research,Low,Happy,25,8.9,5.7
192,Database migration,Medium,Stressed,17,5.3,10.9
193,Client call,High,Tired,22,6.3,12.7
194,Design meeting,High,Calm,22,8.3,11.4
195,Deploy production,Low,Stressed,10,4.4,8.6
196,Sprint planning,High,Stressed,21,8.1,14.5
197,Write documentation,Low,Calm,12,9.3,6.2
198,Performance optimization,High,Motivated,15,4.7,11.6
199,Research,Low,Motivated,21,8.7,8.7
200,Debugging,Low,Anxious,10,2.5,7.4
201,UI/UX design,High,Motivated,14,6.8,9.7
202,Unit testing,Low,Stressed,13,3.5,10.0
203,Deploy production,Low,Tired,5,7.9,13.5
204,Sprint planning,High,Calm,6,7.7,15.8
205,Sprint planning,High,Stressed,24,10.2,12.9
206,Sprint planning,Medium,Motivated,2,8.8,14.8
207,Sprint planning,Medium,Happy,22,5.7,8.0
208,Bug fix,Medium,Anxious,17,3.8,10.7
209,Debugging,Low,Calm,4,7.1,10.2
210,Debugging,Low,Tired,14,5.9,8.5
211,Client call,Low,Tired,10,9.1,11.5
212,Performance optimization,Critical,Motivated,3,2.0,18.0
213,Database migration,Medium,Tired,25,10.4,14.3
214,Sprint planning,Medium,Tired,3,7.1,10.7
215,UI/UX design,Medium,Happy,15,4.4,7.5
216,Database migration,Critical,Calm,6,7.5,14.6
217,Debugging,Low,Happy,17,8.6,5.6
218,Code review,Medium,Tired,12,6.2,7.6
219,Code review,Medium,Calm,22,2.5,9.2
220,UI/UX design,Medium,Tired,20,5.4,11.4
221,Client call,Low,Happy,24,8.1,6.0
222,Debugging,High,Happy,29,7.0,9.2
223,UI/UX design,Critical,Tired,11,5.7,17.6
224,Bug fix,Medium,Happy,25,8.6,7.2
225,Research,Medium,Happy,4,7.5,8.9
226,UI/UX design,Critical,Happy,26,7.6,12.7
227,Design meeting,High,Anxious,28,5.2,12.7
228,Database migration,Low,Tired,26,5.0,8.1
229,Deploy production,Medium,Stressed,6,2.6,12.9
230,API development,Medium,Stressed,1,5.5,16.9
231,Client call,Medium,Stressed,20,7.9,14.0
232,UI/UX design,High,Motivated,23,5.6,12.8
233,Debugging,Critical,Tired,28,6.9,17.5
234,Unit testing,Critical,Happy,16,8.2,15.2
235,Code review,Medium,Happy,15,6.7,8.6
236,Design meeting,Low,Happy,17,6.9,3.9
237,Performance optimization,Critical,Tired,8,3.3,16.1
238,Sprint planning,High,Motivated,28,5.4,10.0
239,API development,Low,Stressed,26,9.5,10.1
240,Client call,Critical,Happy,12,6.2,14.2
241,Deploy production,High,Happy,27,9.8,10.6
242,API development,Medium,Anxious,22,4.6,9.4
243,UI/UX design,Medium,Stressed,21,6.5,12.1
244,Bug fix,Low,Motivated,10,5.2,5.6
245,Code review,Low,Tired,27,7.2,5.5
246,Debugging,Low,Stressed,15,7.8,8.5
247,Code review,High,Stressed,9,7.2,14.6
248,Performance optimization,Low,Happy,2,8.1,12.3
249,Bug fix,Low,Tired,5,6.0,7.6
250,Sprint planning,Low,Motivated,6,5.6,7.3
251,Debugging,Medium,Tired,7,2.5,11.1
252,Database migration,Critical,Calm,21,7.3,16.8
253,Write documentation,Low,Happy,25,6.3,5.6
254,Design meeting,Low,Anxious,1,5.9,12.2
255,Code review,High,Motivated,23,5.6,12.4
256,Unit testing,Medium,Stressed,26,5.9,13.4
257,Code review,Low,Anxious,7,5.5,10.4
258,API development,Medium,Tired,20,4.9,10.3
259,Code review,Low,Calm,25,6.5,9.0
260,Client call,Low,Tired,12,7.0,6.5
261,Code review,Medium,Motivated,16,4.5,10.1
262,Write documentation,Medium,Tired,16,5.2,10.9
263,Write documentation,Critical,Happy,11,5.6,14.3
264,Sprint planning,Low,Stressed,21,6.0,8.8
265,Deploy production,Medium,Anxious,4,5.7,10.4
266,Database migration,Medium,Stressed,13,7.3,12.6
267,Unit testing,Low,Stressed,7,2.7,10.4
268,Code review,Medium,Calm,4,3.0,11.7
269,Code review,Low,Calm,15,6.4,8.2
270,Design meeting,Critical,Tired,19,4.8,17.5
271,Debugging,Low,Anxious,9,7.8,8.2
272,Write documentation,Medium,Stressed,11,8.3,13.8
273,Unit testing,Low,Happy,8,6.5,4.7
274,Sprint planning,Critical,Happy,1,3.9,19.4
275,Performance optimization,Medium,Motivated,23,8.1,9.0
276,Deploy production,Medium,Tired,25,6.4,11.2
277,Database migration,Low,Stressed,24,3.0,10.9
278,Bug fix,High,Motivated,8,3.2,11.6
279,Database migration,Low,Motivated,13,9.0,8.5
280,Client call,High,Motivated,22,8.7,10.0
281,API development,Low,Anxious,27,2.0,9.5
282,Client call,Low,Stressed,4,3.3,10.4
283,Code review,Low,Motivated,8,8.3,8.3
284,Deploy production,Medium,Calm,3,6.0,9.1
285,API development,Medium,Motivated,29,7.4,8.8
286,Unit testing,Low,Tired,9,5.9,7.9
287,Bug fix,High,Motivated,29,7.3,12.3
288,Write documentation,Medium,Tired,2,6.0,16.9
289,Deploy production,Medium,Happy,2,5.1,12.3
290,Deploy production,Medium,Calm,28,8.1,9.9
291,Client call,Medium,Anxious,13,6.4,12.3
292,Code review,Medium,Anxious,15,7.3,13.1
293,UI/UX design,Low,Happy,28,6.3,6.3
294,Sprint planning,Low,Happy,23,5.0,5.3
295,Client call,High,Happy,12,9.2,11.8
296,Deploy production,Critical,Tired,26,6.7,14.6
297,Research,Low,Motivated,4,5.3,9.9
298,Design meeting,Low,Stressed,26,8.6,9.7
299,Bug fix,Medium,Calm,8,3.4,8.3
300,Sprint planning,Medium,Motivated,9,10.5,11.0
301,Client call,Low,Tired,23,5.6,8.5
302,Bug fix,Low,Calm,5,3.5,9.7
303,Design meeting,High,Calm,24,9.8,13.7
304,Performance optimization,Medium,Calm,20,5.1,9.2
305,Design meeting,Low,Stressed,18,6.5,10.8
306,Design meeting,Low,Calm,11,7.4,7.3
307,Bug fix,Low,Tired,15,8.4,9.9
308,Database migration,Medium,Motivated,28,6.6,7.1
309,Bug fix,Low,Tired,22,4.7,8.5
310,UI/UX design,Low,Motivated,9,6.4,4.8
311,Code review,High,Happy,17,5.2,8.7
312,API development,Low,Calm,27,6.5,4.3
313,Database migration,Medium,Happy,26,9.3,9.3
314,Write documentation,Low,Stressed,12,7.5,13.0
315,API development,Low,Tired,7,6.4,8.6
316,Code review,Low,Anxious,10,7.5,10.9
317,Client call,High,Happy,25,7.6,12.2
318,Sprint planning,High,Calm,26,3.8,9.0
319,UI/UX design,High,Motivated,25,6.1,9.2
320,UI/UX design,Low,Stressed,10,11.1,12.7
321,Write documentation,Medium,Calm,27,8.4,9.5
322,Database migration,Low,Tired,13,5.0,7.1
323,Debugging,Low,Tired,19,4.8,8.0
324,Performance optimization,High,Happy,11,4.7,10.6
325,Design meeting,Low,Stressed,13,7.7,9.3
326,Database migration,Low,Motivated,21,9.2,3.2
327,Sprint planning,Low,Calm,8,7.2,7.0
328,Performance optimization,Low,Happy,8,6.3,5.9
329,UI/UX design,Low,Motivated,4,5.1,8.5
330,Bug fix,Medium,Happy,15,6.7,10.2
331,Sprint planning,Medium,Tired,28,4.4,11.0
332,Code review,High,Stressed,11,2.1,13.8
333,Write documentation,High,Anxious,11,9.3,15.4
334,Code review,Low,Stressed,1,4.0,13.8
335,Debugging,Low,Stressed,17,5.4,13.3
336,Sprint planning,Low,Happy,15,7.3,4.6
337,Unit testing,Medium,Stressed,20,8.9,11.4
338,Unit testing,Low,Motivated,6,6.5,9.7
339,Client call,Medium,Anxious,24,3.6,12.6
340,Database migration,Medium,Stressed,22,5.4,11.8
341,UI/UX design,Medium,Calm,28,4.6,7.4
342,UI/UX design,Medium,Tired,25,5.9,13.8
343,Design meeting,Low,Motivated,15,8.5,6.0
344,Design meeting,Critical,Calm,9,2.0,14.9
345,Design meeting,High,Stressed,14,5.2,16.0
346,Bug fix,Low,Calm,18,5.0,6.3
347,API development,High,Tired,26,3.5,11.8
348,Deploy production,Medium,Happy,17,7.2,7.6
349,API development,High,Tired,18,3.2,14.0
350,Code review,High,Stressed,5,3.4,17.3
351,API development,Medium,Motivated,20,7.7,9.1
352,Bug fix,Low,Happy,20,9.0,9.6
353,Client call,Low,Calm,9,5.8,7.2
354,Code review,Medium,Calm,11,3.6,10.7
355,API development,Medium,Tired,24,4.6,10.3
356,Bug fix,Low,Happy,22,8.0,10.1
357,Deploy production,Low,Calm,1,6.2,13.6
358,API development,High,Calm,18,5.8,11.0
359,Bug fix,Critical,Calm,6,6.6,19.5
360,Debugging,Medium,Tired,27,5.9,13.3
361,Design meeting,Low,Tired,2,9.1,16.1
362,Debugging,Low,Motivated,15,4.5,2.7
363,UI/UX design,Low,Stressed,29,4.3,10.9
364,Design meeting,Critical,Motivated,26,3.2,15.0
365,UI/UX design,Low,Calm,21,4.9,7.7
366,Research,Medium,Happy,14,3.8,8.1
367,Write documentation,Low,Happy,5,6.4,8.7
368,Debugging,Medium,Stressed,6,6.0,16.1
369,Write documentation,Medium,Motivated,6,3.8,11.1
370,Write documentation,High,Tired,22,7.2,13.8
371,Deploy production,Low,Motivated,18,9.0,9.0
372,Design meeting,Low,Calm,14,6.7,8.0
373,Research,Low,Calm,10,2.0,7.2
374,UI/UX design,Critical,Happy,14,10.0,17.8
375,Bug fix,High,Stressed,13,7.5,13.8
376,Code review,Medium,Calm,3,9.9,9.7
377,Bug fix,Medium,Happy,6,8.2,10.7
378,Code review,Medium,Stressed,29,8.6,13.0
379,Debugging,Low,Calm,8,6.4,8.4
380,Unit testing,Critical,Tired,12,5.5,17.3
381,Bug fix,Medium,Anxious,13,6.7,12.5
382,API development,Low,Anxious,11,4.6,12.7
383,API development,Medium,Tired,12,6.9,12.6
384,Database migration,Low,Calm,1,2.0,11.9
385,Design meeting,Low,Tired,17,6.1,9.0
386,Code review,High,Motivated,16,8.7,9.2
387,Code review,Low,Happy,11,6.2,2.8
388,Sprint planning,Medium,Calm,13,9.5,9.1
389,Client call,Low,Motivated,18,5.5,2.7
390,Design meeting,Low,Stressed,11,8.0,11.4
391,Deploy production,Low,Calm,28,4.2,6.3
392,Database migration,Low,Calm,12,7.9,5.6
393,Deploy production,High,Happy,6,6.5,12.5
394,Debugging,Low,Stressed,9,5.6,9.0
395,Debugging,Medium,Stressed,16,2.0,12.1
396,Deploy production,Medium,Happy,4,5.5,11.2
397,Deploy production,Medium,Happy,3,6.4,9.2
398,Research,Critical,Motivated,28,7.7,14.7
399,Design meeting,High,Stressed,16,9.1,15.1
400,Deploy production,Low,Calm,24,10.1,5.9
401,API development,Low,Stressed,27,8.5,11.0
402,Client call,Low,Anxious,26,4.9,6.8
403,Client call,Medium,Stressed,25,5.4,12.9
404,Write documentation,Low,Calm,12,7.5,6.8
405,Unit testing,Medium,Motivated,11,7.0,6.7
406,Debugging,Medium,Motivated,5,9.3,10.5
407,Code review,Low,Happy,25,11.0,6.4
408,Sprint planning,High,Motivated,18,10.5,13.2
409,Code review,Low,Calm,19,9.0,8.1
410,Unit testing,Low,Calm,23,7.1,6.0
411,Sprint planning,High,Happy,23,8.7,13.2
412,Research,Medium,Happy,6,9.3,11.8
413,Design meeting,Medium,Tired,22,5.7,10.6
414,Bug fix,Medium,Calm,18,4.9,6.6
415,Design meeting,Low,Calm,26,4.5,6.3
416,Code review,High,Tired,6,4.2,14.5
417,Code review,High,Motivated,4,3.2,12.7
418,Sprint planning,Medium,Happy,12,6.5,9.2
419,Sprint planning,Low,Tired,19,4.0,10.0
420,Debugging,Medium,Happy,29,4.4,5.5
421,Research,Low,Motivated,27,7.4,7.3
422,Debugging,Low,Tired,29,6.4,9.0
423,Unit testing,Critical,Anxious,2,6.9,20.0
424,Deploy production,Low,Happy,17,8.7,6.8
425,Design meeting,Critical,Happy,11,7.7,13.6
426,Sprint planning,Medium,Stressed,11,9.0,13.0
427,UI/UX design,Low,Stressed,21,6.2,10.2
428,Unit testing,Medium,Stressed,16,9.2,9.9
429,API development,High,Anxious,2,6.7,18.0
430,Research,High,Stressed,2,6.3,17.8
431,Code review,High,Stressed,23,8.9,14.7
432,Debugging,Medium,Motivated,8,4.3,7.0
433,Unit testing,Medium,Calm,13,10.0,8.4
434,Design meeting,High,Motivated,10,5.4,11.9
435,Sprint planning,Low,Happy,8,3.6,7.4
436,Code review,Medium,Calm,4,7.3,12.1
437,Bug fix,Low,Happy,15,5.2,3.3
438,Research,Critical,Happy,1,10.1,19.7
439,Unit testing,Critical,Anxious,11,5.1,14.3
440,Database migration,Low,Happy,7,6.6,5.3
441,Code review,High,Calm,17,3.1,11.9
442,Design meeting,Critical,Calm,27,7.6,16.5
443,Write documentation,Low,Stressed,20,4.4,10.6
444,UI/UX design,Medium,Motivated,24,7.4,10.9
445,Performance optimization,Critical,Happy,18,5.1,14.9
446,Deploy production,Low,Tired,22,2.0,5.4
447,Performance optimization,Medium,Anxious,29,6.3,10.7
448,Design meeting,Low,Calm,22,6.2,7.2
449,API development,Critical,Anxious,12,7.8,17.3
450,Debugging,Critical,Happy,9,9.1,13.9
451,API development,Critical,Calm,5,9.8,16.4
452,Write documentation,Medium,Stressed,10,7.7,16.1
453,Deploy production,High,Tired,4,6.6,14.7
454,Database migration,High,Anxious,5,3.1,18.1
455,Write documentation,Low,Stressed,28,6.4,8.6
456,Client call,High,Tired,28,6.4,14.3
457,Performance optimization,Low,Happy,10,5.6,6.5
458,Write documentation,Medium,Calm,11,7.3,8.1
459,Performance optimization,Low,Calm,21,8.2,6.9
460,Code review,Low,Anxious,24,4.4,8.9
461,API development,Low,Tired,10,4.3,7.6
462,Code review,Medium,Stressed,28,5.7,11.8
463,UI/UX design,Low,Happy,8,4.8,2.4
464,Client call,High,Happy,2,2.7,14.6
465,Deploy production,Low,Stressed,23,4.0,11.6
466,Database migration,Low,Stressed,8,3.5,10.4
467,Research,Medium,Motivated,16,8.4,12.6
468,Performance optimization,High,Calm,27,9.4,12.9
469,Database migration,Low,Calm,22,3.8,8.5
470,Performance optimization,Medium,Happy,5,7.1,12.3
471,Design meeting,High,Motivated,27,7.7,6.9
472,Write documentation,Medium,Tired,25,3.0,11.2
473,UI/UX design,Low,Happy,29,6.3,4.2
474,API development,Low,Tired,3,11.1,10.4
475,Research,High,Calm,12,7.4,10.0
476,Sprint planning,Low,Happy,13,5.5,5.6
477,Performance optimization,High,Calm,13,4.9,12.0
478,Database migration,Medium,Calm,10,2.0,9.1
479,UI/UX design,Critical,Happy,4,6.9,16.4
480,Bug fix,High,Anxious,9,9.9,15.1
481,Research,Critical,Motivated,22,4.4,15.6
482,Bug fix,Low,Tired,24,2.1,9.1
483,Code review,High,Calm,23,4.7,8.4
484,API development,Medium,Calm,27,7.8,8.5
485,Debugging,Medium,Tired,2,5.1,15.1
486,Debugging,Medium,Calm,19,4.4,10.0
487,Sprint planning,High,Happy,1,6.0,12.2
488,Design meeting,Critical,Calm,25,6.5,15.3
489,Database migration,High,Motivated,29,3.2,7.8
490,Sprint planning,Medium,Calm,7,5.6,10.7
491,Write documentation,Medium,Happy,17,5.0,8.4
492,Write documentation,High,Motivated,3,4.7,10.4
493,Database migration,Low,Stressed,20,4.0,7.8
494,Deploy production,Low,Stressed,20,7.9,11.2
495,Design meeting,Low,Happy,21,4.7,8.0
496,UI/UX design,Low,Stressed,3,2.0,9.8
497,Performance optimization,Low,Motivated,3,6.5,10.0
498,Debugging,Low,Calm,17,7.5,6.7
499,Research,Low,Stressed,7,4.4,11.1
500,Deploy production,Low,Motivated,27,4.9,7.5
501,Performance optimization,Critical,Motivated,26,4.7,14.7
502,Performance optimization,Medium,Motivated,14,5.3,5.8
503,Deploy production,Low,Stressed,17,8.2,11.7
504,Code review,Medium,Calm,18,5.8,9.9
505,Bug fix,Low,Anxious,13,7.7,10.2
506,Performance optimization,Critical,Motivated,20,4.1,14.6
507,Deploy production,High,Happy,29,5.2,8.7
508,Deploy production,Low,Happy,20,7.9,8.2
509,Client call,Medium,Calm,21,4.4,10.2
510,Sprint planning,High,Anxious,27,8.0,12.0
511,Unit testing,Critical,Calm,18,4.7,16.9
512,Code review,Medium,Calm,4,5.4,11.3
513,API development,Medium,Happy,1,9.3,13.1
514,Unit testing,Low,Tired,18,5.1,8.8
515,Sprint planning,Critical,Motivated,1,6.3,18.6
516,Sprint planning,Low,Stressed,26,7.2,12.5
517,Sprint planning,Critical,Motivated,26,6.5,16.3
518,Unit testing,Medium,Anxious,13,6.5,12.8
519,Database migration,Medium,Stressed,20,5.9,12.5
520,Bug fix,Medium,Calm,20,3.4,10.0
521,Deploy production,Low,Stressed,23,6.7,9.1
522,Research,Low,Motivated,10,4.5,7.3
523,Bug fix,Low,Calm,27,7.6,7.3
524,Debugging,Low,Tired,11,8.7,6.7
525,Design meeting,High,Motivated,9,2.4,7.6
526,Database migration,Low,Stressed,9,8.7,9.7
527,API development,Low,Anxious,5,5.2,11.7
528,Bug fix,Critical,Calm,26,5.7,14.1
529,Research,High,Happy,1,4.2,13.0
530,Write documentation,Critical,Tired,17,6.4,18.4
531,Sprint planning,Critical,Motivated,22,6.1,13.9
532,Performance optimization,Low,Stressed,2,8.2,16.6
533,Debugging,Low,Motivated,24,4.5,8.1
534,Design meeting,High,Anxious,13,9.3,13.9
535,Code review,Medium,Stressed,9,7.3,13.6
536,API development,Low,Anxious,29,6.2,10.2
537,Design meeting,High,Happy,4,5.6,11.8
538,Sprint planning,Low,Stressed,5,5.4,13.4
539,Performance optimization,Low,Happy,11,5.5,7.6
540,Database migration,Medium,Motivated,24,6.3,7.3
541,Performance optimization,Medium,Tired,19,5.6,11.4
542,Unit testing,Medium,Happy,21,4.7,8.2
543,Performance optimization,Low,Calm,3,6.3,10.5
544,Unit testing,High,Tired,12,4.3,12.2
545,Debugging,Low,Happy,26,6.6,5.4
546,Database migration,Low,Motivated,19,5.6,6.9
547,UI/UX design,High,Motivated,19,7.4,12.8
548,Sprint planning,Critical,Calm,13,8.0,13.8
549,Unit testing,High,Anxious,28,8.0,12.1
550,Code review,High,Calm,7,6.6,10.5
551,Performance optimization,Medium,Anxious,15,6.9,10.9
552,Performance optimization,Medium,Tired,23,5.4,8.4
553,Code review,Low,Tired,7,7.4,11.7
554,Write documentation,Medium,Happy,26,7.6,8.3
555,Debugging,Low,Motivated,8,2.9,5.7
556,Deploy production,Low,Calm,5,6.8,11.8
